filename,,,numWords,,,numSentences,,,numSyllables,,,numberOfPolysyllableWord,,,numberOfChars,,,avgWordLengthSyl,,,avgWordLengthInChars,,,avgSenLengthInChars,,,avgWordsPerSentece,,,avgSyllablesPerSentence,,,fleschReadingEase,,,fleschKincaidGradeLevel,,,colemanLiauIndex,,,lixIndex,,,gunningFogIndex,,,SMOG,,,ARI,,,newDaleChall,,,goal
Absolute_Value.1.htm,,,1349,,,63,,,2066,,,190,,,6584,,,1.532,,,4.881,,,104.508,,,21.413,,,32.794,,,54.004,,,10.833,,,11.546,,,45.282,,,14.199,,,13.050,,,12.264,,,9.455,,,2.167
Absolute_Value.3.html,,,2857,,,92,,,4958,,,536,,,15513,,,1.735,,,5.430,,,168.620,,,31.054,,,53.891,,,26.766,,,16.999,,,15.216,,,63.151,,,19.926,,,16.918,,,19.672,,,10.599,,,5.500
Absolute_Value.5.html,,,794,,,22,,,1317,,,105,,,5069,,,1.659,,,6.384,,,230.409,,,36.091,,,59.864,,,28.219,,,18.058,,,20.971,,,73.748,,,19.726,,,15.609,,,26.685,,,14.279,,,1.000
Absolute_Value.10.html,,,1141,,,69,,,1841,,,182,,,6092,,,1.613,,,5.339,,,88.290,,,16.536,,,26.681,,,51.935,,,9.898,,,13.834,,,45.634,,,12.995,,,12.407,,,11.986,,,11.435,,,2.200
Absolute_Value.11.html,,,559,,,28,,,828,,,71,,,2681,,,1.481,,,4.796,,,95.750,,,19.964,,,29.571,,,59.779,,,9.674,,,10.946,,,39.642,,,13.066,,,12.226,,,11.142,,,8.645,,,2.143
Absolute_Value.19.htm,,,517,,,13,,,1015,,,104,,,3969,,,1.963,,,7.677,,,305.308,,,39.769,,,78.077,,,-1.585,,,23.086,,,28.663,,,82.903,,,23.954,,,19.287,,,34.613,,,13.762,,,2.000
Arithmetic.1.html,,,3747,,,128,,,6292,,,708,,,19563,,,1.679,,,5.221,,,152.836,,,29.273,,,49.156,,,33.382,,,15.641,,,13.927,,,58.550,,,19.267,,,16.565,,,17.798,,,11.920,,,3.600
Arithmetic.10.html,,,551,,,26,,,1140,,,161,,,3648,,,2.069,,,6.621,,,140.308,,,21.192,,,43.846,,,8.221,,,17.089,,,21.780,,,66.383,,,20.165,,,17.345,,,20.350,,,13.116,,,5.571
Arithmetic.22.html,,,211,,,2,,,364,,,40,,,1214,,,1.725,,,5.754,,,607.000,,,105.500,,,182.000,,,-47.918,,,45.911,,,17.804,,,142.941,,,49.783,,,28.677,,,58.419,,,15.485,,,6.000
Bipartite_Graph.11.htm,,,897,,,25,,,1600,,,204,,,5257,,,1.784,,,5.861,,,210.280,,,35.880,,,64.000,,,17.730,,,19.451,,,17.883,,,71.443,,,23.449,,,19.448,,,24.114,,,13.134,,,6.833
Bipartite_Graph.12.htm,,,850,,,19,,,1515,,,198,,,4983,,,1.782,,,5.862,,,262.263,,,44.737,,,79.737,,,8.858,,,22.889,,,18.059,,,79.207,,,27.212,,,21.571,,,28.550,,,13.811,,,6.143
Chaos_Theory.1.html,,,6575,,,353,,,11646,,,1391,,,36533,,,1.771,,,5.556,,,103.493,,,18.626,,,32.992,,,36.310,,,12.575,,,15.316,,,53.136,,,15.913,,,14.469,,,14.053,,,10.993,,,6.667
Complex_Numbers.5.html,,,1011,,,67,,,1738,,,155,,,5483,,,1.719,,,5.423,,,81.836,,,15.090,,,25.940,,,44.365,,,10.580,,,14.155,,,50.698,,,12.168,,,11.818,,,11.659,,,11.697,,,4.667
Complex_Numbers.29.htm,,,949,,,71,,,1335,,,75,,,3639,,,1.407,,,3.835,,,51.254,,,13.366,,,18.803,,,72.851,,,6.222,,,4.541,,,31.701,,,8.508,,,9.001,,,3.314,,,11.145,,,4.714
Differential_Geometry.1.html,,,2838,,,128,,,5300,,,738,,,16701,,,1.868,,,5.885,,,130.477,,,22.172,,,41.406,,,24.471,,,15.094,,,17.508,,,60.473,,,19.270,,,16.846,,,17.373,,,10.981,,,6.833
Differential_Geometry.10.html,,,776,,,44,,,1301,,,156,,,4248,,,1.677,,,5.474,,,96.545,,,17.636,,,29.568,,,45.422,,,11.071,,,14.742,,,47.662,,,15.096,,,13.886,,,13.172,,,11.680,,,7.000
Differential_Geometry.13.html,,,506,,,43,,,992,,,118,,,3219,,,1.960,,,6.362,,,74.860,,,11.767,,,23.070,,,27.074,,,12.133,,,19.121,,,52.281,,,14.035,,,12.593,,,14.417,,,14.439,,,6.143
Differential_Geometry.16.html,,,287,,,13,,,560,,,71,,,1629,,,1.951,,,5.676,,,125.308,,,22.077,,,43.077,,,17.403,,,16.044,,,16.273,,,61.101,,,18.726,,,16.480,,,16.342,,,12.154,,,7.000
Differential_Geometry.27.html,,,902,,,7,,,1655,,,159,,,5168,,,1.835,,,5.729,,,738.286,,,128.857,,,236.429,,,-81.015,,,56.315,,,17.714,,,167.549,,,58.594,,,30.356,,,69.984,,,20.011,,,7.000
Dirichlet_Integral.7.html,,,247,,,9,,,495,,,69,,,1682,,,2.004,,,6.810,,,186.889,,,27.444,,,55.000,,,7.432,,,18.761,,,23.216,,,73.193,,,22.152,,,18.947,,,24.366,,,12.932,,,7.000
Dirichlet_Integral.21.html,,,142,,,7,,,278,,,51,,,788,,,1.958,,,5.549,,,112.571,,,20.286,,,39.714,,,18.662,,,15.423,,,15.406,,,61.835,,,22.480,,,18.549,,,14.850,,,10.792,,,7.000
Discrete_Mathematics.7.html,,,514,,,1,,,875,,,70,,,2953,,,1.702,,,5.745,,,2953.000,,,514.000,,,875.000,,,-460.595,,,204.958,,,17.980,,,550.576,,,211.047,,,50.925,,,262.630,,,39.288,,,6.000
Discrete_Mathematics.8.html,,,633,,,40,,,1208,,,129,,,3942,,,1.908,,,6.227,,,98.550,,,15.825,,,30.200,,,27.416,,,13.101,,,18.984,,,57.531,,,14.482,,,13.388,,,15.814,,,13.382,,,5.600
Discrete_Mathematics.14.html,,,342,,,3,,,581,,,58,,,2107,,,1.699,,,6.161,,,702.333,,,114.000,,,193.667,,,-54.295,,,48.916,,,20.224,,,144.702,,,52.384,,,28.248,,,64.587,,,17.612,,,6.000
Discrete_Mathematics.15.html,,,833,,,3,,,1553,,,186,,,6060,,,1.864,,,7.275,,,2020.000,,,277.667,,,517.667,,,-234.585,,,114.699,,,26.941,,,323.645,,,119.998,,,48.111,,,151.668,,,27.553,,,6.000
Discrete_Mathematics.25.html,,,215,,,6,,,417,,,56,,,1347,,,1.940,,,6.265,,,224.500,,,35.833,,,69.500,,,4.440,,,21.272,,,20.264,,,76.764,,,24.752,,,20.582,,,25.995,,,10.443,,,5.500
Fourier_Transform.1.html,,,6078,,,258,,,10347,,,1171,,,31917,,,1.702,,,5.251,,,123.709,,,23.558,,,40.105,,,37.201,,,13.686,,,13.856,,,57.204,,,17.130,,,15.300,,,15.082,,,10.661,,,5.857
Fourier_Transform.13.html,,,937,,,74,,,1594,,,150,,,5322,,,1.701,,,5.680,,,71.919,,,12.662,,,21.541,,,48.362,,,9.422,,,15.285,,,49.802,,,11.468,,,11.263,,,11.653,,,12.626,,,6.400
Fourier_Transform.14.html,,,2570,,,74,,,3729,,,268,,,10996,,,1.451,,,4.279,,,148.595,,,34.730,,,50.392,,,47.381,,,15.076,,,8.537,,,57.259,,,18.063,,,14.001,,,16.087,,,11.860,,,6.000
Fourier_Transform.21.html,,,1314,,,77,,,2013,,,155,,,6521,,,1.532,,,4.963,,,84.688,,,17.065,,,26.143,,,58.378,,,9.142,,,11.672,,,46.365,,,11.544,,,11.234,,,10.477,,,9.378,,,6.000
Fourier_Transform.22.html,,,1394,,,79,,,2360,,,254,,,7578,,,1.693,,,5.436,,,95.924,,,17.646,,,29.873,,,44.007,,,11.269,,,14.519,,,48.779,,,14.347,,,13.373,,,12.997,,,10.163,,,6.000
Fourier_Transform.53.htm,,,875,,,66,,,1325,,,99,,,4388,,,1.514,,,5.015,,,66.485,,,13.258,,,20.076,,,63.756,,,7.449,,,11.475,,,44.115,,,9.829,,,10.126,,,8.819,,,9.482,,,6.000
Fourier_Transform.71.html,,,778,,,15,,,1667,,,245,,,6182,,,2.143,,,7.946,,,412.133,,,51.867,,,111.133,,,-29.223,,,29.922,,,30.424,,,100.581,,,33.343,,,26.217,,,41.929,,,14.750,,,7.000
Fourier_Transform.76.htm,,,310,,,6,,,565,,,64,,,2122,,,1.823,,,6.845,,,353.667,,,51.667,,,94.167,,,-1.620,,,26.066,,,23.937,,,90.054,,,28.925,,,21.787,,,36.644,,,15.093,,,6.000
Fourier_Transform.77.html,,,290,,,8,,,557,,,66,,,1994,,,1.921,,,6.876,,,249.250,,,36.250,,,69.625,,,5.630,,,21.212,,,23.871,,,83.836,,,23.603,,,19.538,,,29.080,,,14.103,,,5.714
Fractions.5.html,,,370,,,8,,,612,,,54,,,2196,,,1.654,,,5.935,,,274.500,,,46.250,,,76.500,,,18.304,,,21.965,,,18.509,,,81.115,,,24.338,,,17.971,,,29.649,,,14.841,,,1.000
Fractions.6.html,,,396,,,15,,,616,,,51,,,2249,,,1.556,,,5.679,,,149.933,,,26.400,,,41.067,,,46.883,,,13.062,,,16.515,,,57.966,,,15.712,,,13.663,,,18.519,,,12.793,,,1.000
Fractions.18.html,,,1688,,,93,,,2843,,,243,,,9636,,,1.684,,,5.709,,,103.613,,,18.151,,,30.570,,,44.241,,,11.363,,,16.170,,,56.006,,,13.019,,,12.363,,,14.532,,,10.965,,,1.667
Fractions.21.html,,,4462,,,207,,,7413,,,724,,,23518,,,1.661,,,5.271,,,113.614,,,21.556,,,35.812,,,42.743,,,12.421,,,13.853,,,52.976,,,15.113,,,13.813,,,14.173,,,9.265,,,1.333
Functions.1.html,,,6259,,,243,,,10201,,,989,,,31227,,,1.630,,,4.989,,,128.506,,,25.757,,,41.979,,,41.179,,,13.687,,,12.421,,,55.474,,,16.623,,,14.654,,,14.947,,,9.716,,,4.667
Functions.12.html,,,720,,,42,,,1293,,,130,,,4238,,,1.796,,,5.886,,,100.905,,,17.143,,,30.786,,,35.712,,,12.287,,,17.119,,,55.476,,,14.079,,,13.180,,,14.865,,,11.333,,,5.500
Functions.26.html,,,2137,,,79,,,4952,,,618,,,18309,,,2.317,,,8.568,,,231.759,,,27.051,,,62.684,,,-18.979,,,22.303,,,33.554,,,76.653,,,22.388,,,19.107,,,32.449,,,13.733,,,7.000
Geometry.21.html,,,1091,,,108,,,2030,,,241,,,6339,,,1.861,,,5.810,,,58.694,,,10.102,,,18.796,,,37.308,,,10.306,,,15.453,,,47.132,,,12.877,,,11.663,,,10.987,,,12.456,,,4.500
Linear_Algebra.7.html,,,621,,,25,,,1081,,,127,,,3323,,,1.741,,,5.351,,,132.920,,,24.840,,,43.240,,,32.615,,,14.638,,,14.510,,,58.173,,,18.116,,,16.005,,,16.193,,,10.437,,,5.800
Linear_Algebra.26.html,,,354,,,1,,,640,,,63,,,1868,,,1.808,,,5.277,,,1868.000,,,354.000,,,640.000,,,-307.232,,,143.803,,,15.196,,,386.203,,,148.719,,,48.473,,,180.424,,,31.564,,,6.000
Linear_Algebra.37.html,,,860,,,12,,,1578,,,184,,,5734,,,1.835,,,6.667,,,477.833,,,71.667,,,131.500,,,-22.973,,,34.012,,,23.053,,,113.062,,,37.225,,,25.499,,,45.807,,,16.425,,,6.000
Linear_Algebra.45.html,,,1108,,,66,,,1759,,,156,,,5907,,,1.588,,,5.331,,,89.500,,,16.788,,,26.652,,,53.901,,,9.690,,,13.814,,,48.737,,,12.347,,,11.912,,,12.074,,,10.039,,,6.000
Linear_Algebra.46.html,,,119,,,6,,,177,,,13,,,547,,,1.487,,,4.597,,,91.167,,,19.833,,,29.500,,,59.383,,,9.696,,,9.762,,,44.203,,,12.303,,,11.538,,,10.137,,,10.272,,,6.000
Linear_Algebra.60.html,,,317,,,10,,,556,,,62,,,1903,,,1.754,,,6.003,,,190.300,,,31.700,,,55.600,,,24.522,,,17.470,,,18.612,,,71.763,,,20.503,,,17.354,,,22.695,,,14.174,,,6.000
Linear_Algebra.70.html,,,97,,,4,,,167,,,25,,,541,,,1.722,,,5.577,,,135.250,,,24.250,,,41.750,,,34.848,,,14.183,,,15.813,,,59.302,,,20.009,,,17.411,,,16.964,,,10.807,,,5.000
Linear_Algebra.72.html,,,1471,,,56,,,2843,,,423,,,9009,,,1.933,,,6.124,,,160.875,,,26.268,,,50.768,,,14.734,,,17.460,,,19.131,,,70.116,,,22.010,,,18.830,,,20.550,,,11.522,,,7.000
Linear_Algebra.78.htm,,,283,,,12,,,581,,,95,,,1780,,,2.053,,,6.290,,,148.333,,,23.583,,,48.417,,,7.161,,,17.833,,,19.975,,,67.400,,,22.861,,,19.203,,,19.986,,,11.882,,,6.000
Linear_Algebra.79.html,,,1221,,,46,,,2257,,,275,,,7124,,,1.848,,,5.835,,,154.870,,,26.543,,,49.065,,,21.663,,,16.574,,,17.435,,,66.511,,,19.626,,,17.097,,,19.323,,,10.964,,,7.000
Linear_Algebra.84.html,,,287,,,2,,,610,,,98,,,1818,,,2.125,,,6.334,,,909.000,,,143.500,,,305.000,,,-120.755,,,65.455,,,21.301,,,187.751,,,71.059,,,43.118,,,80.155,,,20.982,,,6.000
Linear_Algebra.86.html,,,154,,,10,,,294,,,36,,,921,,,1.909,,,5.981,,,92.100,,,15.400,,,29.400,,,27.786,,,12.943,,,17.477,,,58.257,,,15.511,,,13.968,,,14.438,,,11.940,,,6.000
Matrix_Diagonalization.1.html,,,558,,,16,,,1086,,,120,,,3354,,,1.946,,,6.011,,,209.625,,,34.875,,,67.875,,,4.839,,,20.977,,,18.743,,,71.793,,,22.552,,,18.774,,,24.318,,,12.681,,,5.833
Matrix_Diagonalization.32.html,,,166,,,7,,,319,,,34,,,1209,,,1.922,,,7.283,,,172.714,,,23.714,,,45.571,,,18.269,,,16.334,,,25.833,,,68.293,,,17.678,,,15.719,,,24.731,,,13.066,,,7.000
Matrix_Diagonalization.51.htm,,,133,,,6,,,258,,,31,,,778,,,1.940,,,5.850,,,129.667,,,22.167,,,43.000,,,18.285,,,15.945,,,17.301,,,59.761,,,18.190,,,16.114,,,17.205,,,10.835,,,7.000
Matrix_Diagonalization.73.html,,,353,,,53,,,608,,,69,,,1943,,,1.722,,,5.504,,,36.660,,,6.660,,,11.472,,,52.639,,,7.332,,,12.116,,,37.822,,,10.483,,,9.647,,,7.825,,,11.155,,,7.000
Matrix_Diagonalization.77.html,,,291,,,9,,,550,,,72,,,1758,,,1.890,,,6.041,,,195.333,,,32.333,,,61.111,,,12.230,,,19.322,,,18.855,,,75.289,,,22.830,,,19.287,,,23.191,,,11.642,,,6.000
Matrix_Diagonalization.91.html,,,328,,,15,,,614,,,79,,,2011,,,1.872,,,6.131,,,134.067,,,21.867,,,40.933,,,24.401,,,15.027,,,18.940,,,63.940,,,18.381,,,16.239,,,18.381,,,11.627,,,7.000
Modular_Arithmetic.4.html,,,608,,,17,,,1109,,,131,,,3442,,,1.824,,,5.661,,,202.471,,,35.765,,,65.235,,,14.398,,,19.882,,,16.706,,,72.607,,,22.924,,,18.987,,,23.117,,,11.513,,,4.143
Modular_Arithmetic.6.html,,,347,,,28,,,595,,,61,,,1840,,,1.715,,,5.303,,,65.714,,,12.393,,,21.250,,,47.478,,,9.477,,,13.012,,,39.770,,,11.989,,,11.561,,,9.742,,,8.032,,,2.857
Modular_Arithmetic.18.html,,,964,,,7,,,2007,,,236,,,7463,,,2.082,,,7.742,,,1066.143,,,137.714,,,286.714,,,-111.160,,,62.686,,,29.581,,,183.980,,,64.878,,,36.300,,,83.891,,,20.147,,,3.333
Modular_Arithmetic.31.html,,,939,,,16,,,1807,,,215,,,6552,,,1.924,,,6.978,,,409.500,,,58.688,,,112.938,,,-17.460,,,30.006,,,24.787,,,100.008,,,32.634,,,24.070,,,40.778,,,15.775,,,4.000
Modular_Arithmetic.53.htm,,,818,,,21,,,1499,,,197,,,4872,,,1.833,,,5.956,,,232.000,,,38.952,,,71.381,,,10.435,,,21.225,,,18.511,,,74.527,,,25.214,,,20.626,,,26.099,,,13.437,,,7.000
Modular_Arithmetic.56.html,,,729,,,23,,,1649,,,237,,,5565,,,2.262,,,7.634,,,241.957,,,31.696,,,71.696,,,-18.964,,,23.463,,,28.216,,,80.118,,,25.682,,,21.467,,,30.373,,,13.485,,,6.000
Modular_Arithmetic.61.html,,,654,,,23,,,1179,,,132,,,4443,,,1.803,,,6.794,,,193.174,,,28.435,,,51.261,,,23.658,,,16.772,,,23.159,,,68.496,,,19.447,,,16.815,,,24.785,,,15.486,,,1.000
